,project,bug_id,lambda_val,tarantula,ochiai,dstar,GraphCut_Score,GraphCut_Rank,tarantula_rank,ochiai_rank,dstar_rank,rank_gain_tarantula,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient,Num_Nodes,Num_Edges,Density,Is_DAG,Reciprocity,Num_SCC,Num_WCC,Degree_Assortativity,Largest_SCC_Avg_Path_Length,Largest_SCC_Diameter
0,Chart,1,0.1,0.9834155087404752,0.16222142113076254,0.02702702702702703,4.145057059895695,7.0,7.5,7.5,7.5,0.5,0,3,0.0,0.015228426395939085,0.0,0.0,0.002495893454331163,0.0,198,239,0.006127262472440137,False,0.016736401673640166,189,18,-0.1466977983631645,2.3555555555555556,4
1,Chart,11,0.1,0.9917537108301264,0.25,0.06666666666666667,4.756378166187023,1.0,1.0,1.0,1.0,0.0,1,0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.13571780828608065,0.0,7,6,0.14285714285714285,True,0.0,7,1,,0.0,0
2,Chart,12,0.1,0.9983351831298557,0.5,0.3333333333333333,6.730443238539697,2.0,3.0,3.0,3.0,1.0,1,8,0.00546448087431694,0.04371584699453552,0.0023118957545187053,0.00546448087431694,0.005464272840097624,0.013888888888888888,184,239,0.0070978854834877645,False,0.03347280334728033,172,15,-0.21799552885593854,2.948717948717949,7
3,Chart,13,0.1,1.0,1.0,inf,27.960389281740063,1.0,1.5,1.5,1.5,0.5,1,8,0.015873015873015872,0.12698412698412698,0.0028161802355350742,0.031746031746031744,0.010497519969796316,0.05555555555555555,64,83,0.02058531746031746,False,0.04819277108433735,62,10,0.040845187317693744,1.0,1
4,Chart,14,0.1,1.0,0.5,0.3333333333333333,27.637270970210345,5.0,4.5,4.5,4.5,-0.5,1,0,0.0010940919037199124,0.0,0.0,0.0016411378555798686,0.0017946478795959448,0.0,915,1530,0.0018294651504824767,False,0.02091503267973856,873,32,-0.18440791820716831,2.912903225806452,7
5,Chart,15,0.1,0.9988795518207283,0.5773502691896258,0.5,6.8707111330044235,6.0,7.5,7.5,7.5,1.5,1,4,0.00425531914893617,0.01702127659574468,0.00018185124568103294,0.0056737588652482265,0.002956629124072,0.0,236,299,0.0053912729895420125,True,0.0,236,18,-0.10703659637988547,0.0,0
6,Chart,16,0.1,0.9927252378287633,0.6172133998483676,4.923076923076923,4.989539913280499,5.0,5.0,2.0,2.0,0.0,1,3,0.03125,0.09375,0.008064516129032258,0.041666666666666664,0.037313415549723415,0.0,33,38,0.03598484848484849,True,0.0,33,4,0.07556096518348275,0.0,0
7,Chart,17,0.1,0.9988558352402747,0.5773502691896258,0.5,6.8123731565799375,1.0,1.0,1.0,1.0,0.0,0,2,0.0,0.01834862385321101,0.0,0.0,0.004611626107179349,0.0,110,157,0.013094245204336948,True,0.0,110,3,0.21184243427478325,0.0,0
8,Chart,18,0.1,1.0,1.0,inf,27.67350694679921,2.0,1.5,1.5,1.5,-0.5,1,1,0.038461538461538464,0.038461538461538464,0.0015384615384615385,0.038461538461538464,0.03168671344795748,0.0,27,34,0.04843304843304843,True,0.0,27,3,0.1403230639696259,0.0,0
9,Chart,19,0.1,1.0,0.7071067811865475,1.0,27.648184916421464,2.0,1.5,1.5,1.5,-0.5,0,1,0.0,0.0014388489208633094,0.0,0.0,0.0007562848855436402,0.0,696,1102,0.002278177458033573,False,0.016333938294010888,665,30,-0.20448661446823865,3.047126436781609,8
