Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
"org.jfree.data.time.Day#Day(int,int,int)",0,2,0.0,0.01834862385321101,0.0,0.0,0.004611626107179349,0.0
"org.jfree.data.time.SerialDate#createInstance(int,int,int)",2,1,0.01834862385321101,0.009174311926605505,0.0016989466530750936,0.020969855832241154,0.011613626407247172,0.0
org.jfree.data.time.SpreadsheetDate#SpreadsheetDate(int),1,3,0.009174311926605505,0.027522935779816515,0.0005096839959225281,0.012232415902140673,0.009642048071818086,0.16666666666666666
org.jfree.data.time.SerialDate#leapYearCount(int),2,0,0.01834862385321101,0.0,0.0,0.029594554601953243,0.01786110905713488,0.5
"org.jfree.data.time.TimeSeries#removeAgedItems(long,boolean)",0,5,0.0,0.045871559633027525,0.0,0.0,0.004611626107179349,0.0
org.jfree.data.time.TimeSeries#getItemCount(),8,0,0.07339449541284404,0.0,0.0,0.08552826279964486,0.01901341236169994,0.05357142857142857
org.jfree.data.time.SpreadsheetDate#compare(org.jfree.data.time.SerialDate),1,1,0.009174311926605505,0.009174311926605505,0.0010193679918450561,0.05174885321100918,0.00664427106939625,0.0
org.jfree.data.time.SpreadsheetDate#toSerial(),5,0,0.045871559633027525,0.0,0.0,0.08698606863744479,0.032849264003122006,0.0
org.jfree.data.time.TimeSeries#hashCode(),0,4,0.0,0.03669724770642202,0.0,0.0,0.004611626107179349,0.0
org.jfree.data.time.TimeSeriesDataItem#hashCode(),1,1,0.009174311926605505,0.009174311926605505,0.00025484199796126404,0.009174311926605505,0.005871538320584275,0.0
org.jfree.data.time.Day#getFirstMillisecond(java.util.Calendar),1,3,0.009174311926605505,0.027522935779816515,0.0008919469928644242,0.02644360496492175,0.011685488397922874,0.0
org.jfree.data.time.SpreadsheetDate#getMonth(),2,0,0.01834862385321101,0.0,0.0,0.02858151023288638,0.011232895189628295,0.0
org.jfree.data.time.Month#getLastMillisecond(java.util.Calendar),1,1,0.009174311926605505,0.009174311926605505,0.0003397893306150187,0.012232415902140673,0.008237532167988794,0.0
"org.jfree.data.time.SerialDate#lastDayOfMonth(int,int)",2,1,0.01834862385321101,0.009174311926605505,0.0005096839959225281,0.03096330275229358,0.017768288270298485,0.0
org.jfree.data.time.Day#getLastMillisecond(java.util.Calendar),1,3,0.009174311926605505,0.027522935779816515,0.0008919469928644242,0.02644360496492175,0.011685488397922874,0.0
org.jfree.data.time.SpreadsheetDate#getDayOfMonth(),2,0,0.01834862385321101,0.0,0.0,0.02858151023288638,0.011232895189628295,0.0
"org.jfree.data.time.TimeSeries#addOrUpdate(org.jfree.data.time.RegularTimePeriod,java.lang.Number)",2,7,0.01834862385321101,0.06422018348623854,0.003610261637784574,0.01834862385321101,0.008923325681942875,0.041666666666666664
"org.jfree.data.time.TimeSeriesDataItem#TimeSeriesDataItem(org.jfree.data.time.RegularTimePeriod,java.lang.Number)",4,0,0.03669724770642202,0.0,0.0,0.06200569440050618,0.02171656347155374,0.0
org.jfree.data.time.TimeSeries#addAndOrUpdate(org.jfree.data.time.TimeSeries),0,9,0.0,0.08256880733944955,0.0,0.0,0.004611626107179349,0.013888888888888888
org.jfree.data.time.TimeSeries#TimeSeries(java.lang.Comparable),0,1,0.0,0.009174311926605505,0.0,0.0,0.004611626107179349,0.0
"org.jfree.data.time.TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String,java.lang.Class)",2,1,0.01834862385321101,0.009174311926605505,0.0005096839959225281,0.020642201834862386,0.012784288403023694,0.0
org.jfree.data.time.Day#equals(java.lang.Object),1,2,0.009174311926605505,0.01834862385321101,0.0005096839959225281,0.012232415902140673,0.006876373792104137,0.0
org.jfree.data.time.SpreadsheetDate#equals(java.lang.Object),1,1,0.009174311926605505,0.009174311926605505,0.00025484199796126404,0.013761467889908258,0.007534096896506344,0.0
org.jfree.data.time.SerialDate#createInstance(int),1,1,0.009174311926605505,0.009174311926605505,0.0003397893306150187,0.009174311926605505,0.00591820173589557,0.0
"org.jfree.data.time.TimeSeries#addOrUpdate(org.jfree.data.time.RegularTimePeriod,double)",0,1,0.0,0.009174311926605505,0.0,0.0,0.004611626107179349,0.0
"org.jfree.data.time.TimeSeries#add(org.jfree.data.time.TimeSeriesDataItem,boolean)",3,9,0.027522935779816515,0.08256880733944955,0.014228678219503908,0.04371289800323799,0.018324248972674637,0.06060606060606061
org.jfree.data.time.TimeSeriesDataItem#getPeriod(),4,0,0.03669724770642202,0.0,0.0,0.08706601906817774,0.021879625329837858,0.16666666666666666
"org.jfree.data.time.Month#Month(int,int)",0,1,0.0,0.009174311926605505,0.0,0.0,0.004611626107179349,0.0
org.jfree.data.time.Month#peg(java.util.Calendar),1,2,0.009174311926605505,0.01834862385321101,0.0003397893306150187,0.009174311926605505,0.008531352993328009,0.0
org.jfree.data.general.Series#Series(java.lang.Comparable),1,1,0.009174311926605505,0.009174311926605505,0.0003397893306150187,0.01834862385321101,0.015478769623505277,0.0
org.jfree.data.time.Day#compareTo(java.lang.Object),2,2,0.01834862385321101,0.01834862385321101,0.00399252463472647,0.06605504587155964,0.0047828915639778116,0.08333333333333333
org.jfree.data.time.Day#getSerialDate(),2,0,0.01834862385321101,0.0,0.0,0.06343381389252949,0.009566741858723245,0.0
org.jfree.data.time.Year#equals(java.lang.Object),1,1,0.009174311926605505,0.009174311926605505,0.00016989466530750936,0.012232415902140673,0.006593280331488538,0.0
org.jfree.data.time.Year#getYear(),2,0,0.01834862385321101,0.0,0.0,0.06343381389252949,0.01598423736272967,0.0
org.jfree.data.time.Year#getSerialIndex(),2,0,0.01834862385321101,0.0,0.0,0.045871559633027525,0.008520353350907046,0.0
org.jfree.data.time.Day#peg(java.util.Calendar),3,2,0.027522935779816515,0.01834862385321101,0.0025484199796126403,0.03302752293577982,0.016644048371885906,0.0
org.jfree.data.time.FixedMillisecond#FixedMillisecond(long),0,1,0.0,0.009174311926605505,0.0,0.0,0.004611626107179349,0.0
org.jfree.data.time.FixedMillisecond#FixedMillisecond(java.util.Date),1,0,0.009174311926605505,0.0,0.0,0.009174311926605505,0.008531352993328009,0.0
"org.jfree.data.time.TimeSeries#createCopy(org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod)",0,4,0.0,0.03669724770642202,0.0,0.0,0.004611626107179349,0.08333333333333333
org.jfree.data.general.Series#clone(),2,0,0.01834862385321101,0.0,0.0,0.020642201834862386,0.005856842277433826,0.5
org.jfree.data.time.TimeSeries#setMaximumItemAge(long),0,1,0.0,0.009174311926605505,0.0,0.0,0.004611626107179349,0.0
org.jfree.data.time.TimeSeries#removeAgedItems(boolean),3,6,0.027522935779816515,0.05504587155963303,0.004969418960244648,0.05168195718654435,0.011695109394638048,0.06944444444444445
org.jfree.data.time.TimeSeries#equals(java.lang.Object),0,9,0.0,0.08256880733944955,0.0,0.0,0.004611626107179349,0.013888888888888888
org.jfree.data.time.TimeSeries#getMaximumItemCount(),1,0,0.009174311926605505,0.0,0.0,0.009174311926605505,0.005021532186776595,0.0
org.jfree.data.time.TimeSeries#getDataItem(int),5,0,0.045871559633027525,0.0,0.0,0.06795786612300374,0.013710001335701733,0.0
org.jfree.data.time.TimeSeries#getDomainDescription(),1,0,0.009174311926605505,0.0,0.0,0.009174311926605505,0.0050471513167514226,0.0
org.jfree.data.time.TimeSeriesDataItem#equals(java.lang.Object),1,2,0.009174311926605505,0.01834862385321101,0.0005096839959225281,0.009174311926605505,0.004995913056801766,0.0
org.jfree.data.general.Series#fireSeriesChanged(),7,2,0.06422018348623854,0.01834862385321101,0.0032279986408426777,0.0871559633027523,0.017263372583557923,0.027777777777777776
org.jfree.data.general.Series#notifyListeners(org.jfree.data.general.SeriesChangeEvent),1,0,0.009174311926605505,0.0,0.0,0.06327111673521038,0.011948792918400213,0.0
org.jfree.data.time.TimeSeriesDataItem#compareTo(java.lang.Object),4,5,0.03669724770642202,0.045871559633027525,0.00815494393476045,0.07575360419397117,0.016442935604231743,0.05555555555555555
org.jfree.data.time.Month#compareTo(java.lang.Object),3,2,0.027522935779816515,0.01834862385321101,0.0030581039755351687,0.0691273735865159,0.009273730567539171,0.05
org.jfree.data.time.TimeSeriesDataItem#setValue(java.lang.Number),2,0,0.01834862385321101,0.0,0.0,0.024464831804281346,0.006265781886064596,0.0
"org.jfree.data.time.SpreadsheetDate#SpreadsheetDate(int,int,int)",1,2,0.009174311926605505,0.01834862385321101,0.0016989466530750936,0.019113149847094803,0.01448311158907347,0.0
org.jfree.data.time.RegularTimePeriod#getMiddleMillisecond(),0,2,0.0,0.01834862385321101,0.0,0.0,0.004611626107179349,0.0
org.jfree.data.time.Year#getFirstMillisecond(),1,0,0.009174311926605505,0.0,0.0,0.009174311926605505,0.006571489550253679,0.0
org.jfree.data.time.TimeSeries#getValue(org.jfree.data.time.RegularTimePeriod),0,2,0.0,0.01834862385321101,0.0,0.0,0.004611626107179349,0.0
org.jfree.data.time.TimeSeries#getIndex(org.jfree.data.time.RegularTimePeriod),4,2,0.03669724770642202,0.01834862385321101,0.004502208630648998,0.03669724770642202,0.016044162858446273,0.0
