Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
org.apache.commons.cli.Option#Option(org.apache.commons.cli.Option.Builder),1,9,0.015873015873015872,0.14285714285714285,0.004608294930875576,0.021164021164021163,0.02268891429754334,0.0
org.apache.commons.cli.Option.Builder#access.800(org.apache.commons.cli.Option.Builder),1,0,0.015873015873015872,0.0,0.0,0.023809523809523808,0.010962282235352555,0.0
org.apache.commons.cli.Option#processValue(java.lang.String),1,2,0.015873015873015872,0.031746031746031744,0.0030721966205837174,0.026455026455026454,0.01772422251804962,0.0
org.apache.commons.cli.Option#add(java.lang.String),1,1,0.015873015873015872,0.015873015873015872,0.0010240655401945725,0.027210884353741492,0.016352744350322048,0.0
org.apache.commons.cli.Options#addOption(org.apache.commons.cli.Option),0,3,0.0,0.047619047619047616,0.0,0.0,0.008819508726870522,0.0
org.apache.commons.cli.Option#isRequired(),2,0,0.031746031746031744,0.0,0.0,0.03503010399562123,0.015864935667088062,0.0
org.apache.commons.cli.Option.Builder#access.600(org.apache.commons.cli.Option.Builder),1,0,0.015873015873015872,0.0,0.0,0.023809523809523808,0.010962282235352555,0.0
org.apache.commons.cli.DefaultParser#handleToken(java.lang.String),1,5,0.015873015873015872,0.07936507936507936,0.019201228878648235,0.023809523809523808,0.013640749120955097,0.0
org.apache.commons.cli.Util#stripLeadingAndTrailingQuotes(java.lang.String),1,0,0.015873015873015872,0.0,0.0,0.025396825396825397,0.010475837047473676,0.0
"org.apache.commons.cli.DefaultParser#parse(org.apache.commons.cli.Options,java.lang.String[],java.util.Properties,boolean)",1,7,0.015873015873015872,0.1111111111111111,0.01638504864311316,0.021164021164021163,0.02268891429754334,0.0
org.apache.commons.cli.Options#getRequiredOptions(),1,0,0.015873015873015872,0.0,0.0,0.023809523809523808,0.01123012892391281,0.0
org.apache.commons.cli.Option#hasValueSeparator(),1,0,0.015873015873015872,0.0,0.0,0.027210884353741492,0.016352744350322048,0.0
org.apache.commons.cli.DefaultParser#handleOption(org.apache.commons.cli.Option),1,5,0.015873015873015872,0.07936507936507936,0.008448540706605223,0.026455026455026454,0.011045687174665295,0.0
org.apache.commons.cli.DefaultParser#checkRequiredArgs(),2,0,0.031746031746031744,0.0,0.0,0.047619047619047616,0.013107975759324483,0.0
org.apache.commons.cli.Option#addValueForProcessing(java.lang.String),1,1,0.015873015873015872,0.015873015873015872,0.0030721966205837174,0.025396825396825397,0.010475837047473676,0.0
org.apache.commons.cli.Option.Builder#access.100(org.apache.commons.cli.Option.Builder),1,0,0.015873015873015872,0.0,0.0,0.023809523809523808,0.010962282235352555,0.0
org.apache.commons.cli.DefaultParser#handleShortAndLongOption(java.lang.String),1,4,0.015873015873015872,0.06349206349206349,0.010496671786994368,0.025396825396825397,0.010475837047473676,0.1
org.apache.commons.cli.Option#acceptsArg(),2,1,0.031746031746031744,0.015873015873015872,0.0017921146953405018,0.048611111111111105,0.027687948347405775,0.0
org.apache.commons.cli.Option#hasArg(),2,0,0.031746031746031744,0.0,0.0,0.05878894767783656,0.03423126615563089,0.0
org.apache.commons.cli.Option.Builder#access.400(org.apache.commons.cli.Option.Builder),1,0,0.015873015873015872,0.0,0.0,0.023809523809523808,0.010962282235352555,0.0
org.apache.commons.cli.DefaultParser#isOption(java.lang.String),1,2,0.015873015873015872,0.031746031746031744,0.006912442396313364,0.026455026455026454,0.01772422251804962,0.0
org.apache.commons.cli.DefaultParser#isLongOption(java.lang.String),1,2,0.015873015873015872,0.031746031746031744,0.004949650110940433,0.027210884353741492,0.016352744350322048,0.0
org.apache.commons.cli.Option#hasLongOpt(),1,0,0.015873015873015872,0.0,0.0,0.015873015873015872,0.011318449333685011,0.0
org.apache.commons.cli.DefaultParser#getLongPrefix(java.lang.String),1,2,0.015873015873015872,0.031746031746031744,0.002090800477897252,0.027777777777777776,0.015769236056233413,0.16666666666666666
org.apache.commons.cli.Options#hasLongOption(java.lang.String),1,1,0.015873015873015872,0.015873015873015872,0.0,0.02821869488536155,0.015521272852266843,0.5
org.apache.commons.cli.CommandLine#getOptionValue(java.lang.String),0,1,0.0,0.015873015873015872,0.0,0.0,0.008819508726870522,0.0
org.apache.commons.cli.CommandLine#getOptionValues(java.lang.String),1,2,0.015873015873015872,0.031746031746031744,0.0005120327700972862,0.015873015873015872,0.01631633054731399,0.0
org.apache.commons.cli.DefaultParser#checkRequiredOptions(),1,0,0.015873015873015872,0.0,0.0,0.023809523809523808,0.01123012892391281,0.0
org.apache.commons.cli.Option#builder(java.lang.String),0,1,0.0,0.015873015873015872,0.0,0.0,0.008819508726870522,0.0
"org.apache.commons.cli.Option.Builder#Option.Builder(java.lang.String,org.apache.commons.cli.Option.1)",1,1,0.015873015873015872,0.015873015873015872,0.0007680491551459293,0.015873015873015872,0.01631633054731399,0.0
org.apache.commons.cli.CommandLine#CommandLine(),1,0,0.015873015873015872,0.0,0.0,0.023809523809523808,0.01123012892391281,0.0
org.apache.commons.cli.Options#getMatchingOptions(java.lang.String),1,1,0.015873015873015872,0.015873015873015872,0.0002986857825567503,0.027777777777777776,0.015769236056233413,0.0
org.apache.commons.cli.Options#getOption(java.lang.String),1,1,0.015873015873015872,0.015873015873015872,0.0,0.026455026455026454,0.011045687174665295,0.5
org.apache.commons.cli.Util#stripLeadingHyphens(java.lang.String),7,0,0.1111111111111111,0.0,0.0,0.11951447245564892,0.07963406529036654,0.07142857142857142
