Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
org.apache.commons.codec.binary.StringUtils#newStringUtf16(byte[]),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
"org.apache.commons.codec.binary.StringUtils#newString(byte[],java.nio.charset.Charset)",5,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.19408408375265992,0
org.apache.commons.codec.binary.StringUtils#getBytesIso8859_1(java.lang.String),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
"org.apache.commons.codec.binary.StringUtils#getBytes(java.lang.String,java.nio.charset.Charset)",6,0,0.4,0.0,0.0,0.4,0.22550714852941459,0
org.apache.commons.codec.binary.StringUtils#newStringUtf16Be(byte[]),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
org.apache.commons.codec.binary.StringUtils#newStringUsAscii(byte[]),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
org.apache.commons.codec.binary.StringUtils#getBytesUsAscii(java.lang.String),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
org.apache.commons.codec.binary.StringUtils#getBytesUtf8(java.lang.String),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
"org.apache.commons.codec.binary.StringUtils#getBytesUnchecked(java.lang.String,java.lang.String)",0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
"org.apache.commons.codec.binary.StringUtils#newIllegalStateException(java.lang.String,java.io.UnsupportedEncodingException)",2,0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.09981488942239611,0
org.apache.commons.codec.binary.StringUtils#newStringUtf16Le(byte[]),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
org.apache.commons.codec.binary.StringUtils#getBytesUtf16Le(java.lang.String),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
org.apache.commons.codec.binary.StringUtils#newStringUtf8(byte[]),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
org.apache.commons.codec.binary.StringUtils#getBytesUtf16Be(java.lang.String),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
"org.apache.commons.codec.binary.StringUtils#newString(byte[],java.lang.String)",0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
org.apache.commons.codec.binary.StringUtils#getBytesUtf16(java.lang.String),0,1,0.0,0.06666666666666667,0.0,0.0,0.03696875986888687,0
