Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
org.apache.commons.csv.CSVFormat#withEscape(char),0,1,0.0,0.02857142857142857,0.0,0.0,0.013438246831974485,0.0
org.apache.commons.csv.CSVFormat#withEscape(java.lang.Character),1,2,0.02857142857142857,0.05714285714285714,0.0025210084033613447,0.02857142857142857,0.02486053088837159,0.0
"org.apache.commons.csv.CSVPrinter#print(java.lang.Object,java.lang.CharSequence,int,int)",1,4,0.02857142857142857,0.11428571428571428,0.015126050420168069,0.04285714285714286,0.033664776004131175,0.05
org.apache.commons.csv.CSVFormat#isEscaping(),1,0,0.02857142857142857,0.0,0.0,0.045714285714285714,0.016617702715011062,0.0
"org.apache.commons.csv.CSVPrinter#printAndQuote(java.lang.Object,java.lang.CharSequence,int,int)",1,3,0.02857142857142857,0.08571428571428572,0.0067226890756302525,0.045714285714285714,0.02138688653956592,0.08333333333333333
org.apache.commons.csv.CSVFormat#withQuoteChar(java.lang.Character),1,2,0.02857142857142857,0.05714285714285714,0.0025210084033613447,0.02857142857142857,0.02486053088837159,0.0
org.apache.commons.csv.CSVFormat#isLineBreak(java.lang.Character),3,1,0.08571428571428572,0.02857142857142857,0.0025210084033613447,0.11428571428571428,0.04634962196582,0.0
org.apache.commons.csv.CSVFormat#format(java.lang.Object[]),0,2,0.0,0.05714285714285714,0.0,0.0,0.013438246831974485,0.0
"org.apache.commons.csv.CSVPrinter#CSVPrinter(java.lang.Appendable,org.apache.commons.csv.CSVFormat)",1,2,0.02857142857142857,0.05714285714285714,0.0016806722689075631,0.02857142857142857,0.01914938886017304,0.0
"org.apache.commons.csv.CSVFormat#CSVFormat(char,java.lang.Character,org.apache.commons.csv.Quote,java.lang.Character,java.lang.Character,boolean,boolean,java.lang.String,java.lang.String,java.lang.String[],boolean)",12,1,0.34285714285714286,0.02857142857142857,0.010084033613445379,0.3657142857142857,0.15033690790355111,0.00641025641025641
org.apache.commons.csv.CSVFormat#getQuotePolicy(),1,0,0.02857142857142857,0.0,0.0,0.047619047619047616,0.019497773183834697,0.0
org.apache.commons.csv.CSVFormat#isLineBreak(char),3,0,0.08571428571428572,0.0,0.0,0.25019305019305016,0.1867132157505382,0.16666666666666666
org.apache.commons.csv.CSVPrinter#print(java.lang.Object),1,1,0.02857142857142857,0.02857142857142857,0.011764705882352941,0.03809523809523809,0.023796081987308405,0.0
org.apache.commons.csv.CSVFormat#getDelimiter(),2,0,0.05714285714285714,0.0,0.0,0.06493506493506493,0.02585668494990785,0.5
org.apache.commons.csv.CSVFormat#withCommentStart(java.lang.Character),1,2,0.02857142857142857,0.05714285714285714,0.0025210084033613447,0.02857142857142857,0.02486053088837159,0.0
org.apache.commons.csv.CSVFormat#withDelimiter(char),0,2,0.0,0.05714285714285714,0.0,0.0,0.013438246831974485,0.5
org.apache.commons.csv.CSVPrinter#println(),1,1,0.02857142857142857,0.02857142857142857,0.0016806722689075631,0.03809523809523809,0.01935700977787958,0.0
org.apache.commons.csv.CSVFormat#getRecordSeparator(),1,0,0.02857142857142857,0.0,0.0,0.04285714285714286,0.029891528097377072,0.0
