Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
com.google.gson.internal..Gson.Types.ParameterizedTypeImpl#hashCode(),1,2,0.008064516129032258,0.016129032258064516,0.0006556517178075007,0.026881720430107524,0.00503207518016731,0.16666666666666666
com.google.gson.internal..Gson.Types.WildcardTypeImpl#hashCode(),2,0,0.016129032258064516,0.0,0.0,0.03147762747138398,0.006470875391807886,0.5
com.google.gson.Gson#getAdapter(com.google.gson.reflect.TypeToken),4,19,0.03225806451612903,0.1532258064516129,0.020347058309292773,0.03225806451612903,0.007533700808590154,0.00398406374501992
"com.google.gson.internal.bind.MapTypeAdapterFactory#create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)",1,2,0.008064516129032258,0.016129032258064516,7.867820613690008e-05,0.02469758064516129,0.004642486382434783,0.0
"com.google.gson.internal..Gson.Types#resolve(java.lang.reflect.Type,java.lang.Class,java.lang.reflect.Type,java.util.Collection)",2,7,0.016129032258064516,0.056451612903225805,0.006853745956814407,0.023719165085388995,0.01335318430598554,0.047619047619047616
com.google.gson.internal..Gson.Types#supertypeOf(java.lang.reflect.Type),1,2,0.008064516129032258,0.016129032258064516,0.0007692980155608007,0.021684587813620072,0.0045423614307754795,0.16666666666666666
"com.google.gson.internal.bind.ArrayTypeAdapter.1#create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)",1,6,0.008064516129032258,0.04838709677419355,0.002546114170819128,0.02073732718894009,0.00465785566625425,0.0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#createBoundField(com.google.gson.Gson,java.lang.reflect.Field,java.lang.String,com.google.gson.reflect.TypeToken,boolean,boolean)",1,5,0.008064516129032258,0.04032258064516129,0.005769735116706006,0.016129032258064516,0.0049971523670653455,0.06666666666666667
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.1#ReflectiveTypeAdapterFactory.1(com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,java.lang.String,boolean,boolean,java.lang.reflect.Field,boolean,com.google.gson.TypeAdapter,com.google.gson.Gson,com.google.gson.reflect.TypeToken,boolean)",1,1,0.008064516129032258,0.008064516129032258,0.00045895620246525046,0.015806451612903227,0.005585541541612036,0.0
com.google.gson.Gson#atomicLongAdapter(com.google.gson.TypeAdapter),1,2,0.008064516129032258,0.016129032258064516,0.00026226068712300026,0.01075268817204301,0.004959989190771971,0.0
com.google.gson.Gson.4#Gson.4(com.google.gson.TypeAdapter),1,0,0.008064516129032258,0.0,0.0,0.012096774193548387,0.006647914848456711,0.0
"com.google.gson.internal.bind.TypeAdapters.34#create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)",1,1,0.008064516129032258,0.008064516129032258,1.3113034356150013e-05,0.02469758064516129,0.00465785566625425,0.0
com.google.gson.reflect.TypeToken#getRawType(),18,0,0.14516129032258063,0.0,0.0,0.13678660049627792,0.058938768877385035,0.013071895424836602
"com.google.gson.internal.bind.SqlDateTypeAdapter.1#create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)",1,1,0.008064516129032258,0.008064516129032258,1.3113034356150013e-05,0.02469758064516129,0.00465785566625425,0.0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#getBoundFields(com.google.gson.Gson,com.google.gson.reflect.TypeToken,java.lang.Class)",1,7,0.008064516129032258,0.056451612903225805,0.009343036978756884,0.01935483870967742,0.005551795047342264,0.03571428571428571
com.google.gson.reflect.TypeToken#getType(),5,0,0.04032258064516129,0.0,0.0,0.043548387096774194,0.013020102560867762,0.05
"com.google.gson.internal..Gson.Types#resolveTypeVariable(java.lang.reflect.Type,java.lang.Class,java.lang.reflect.TypeVariable)",1,4,0.008064516129032258,0.03225806451612903,0.001966955153422502,0.021684587813620072,0.007373175320682733,0.0
"com.google.gson.internal..Gson.Types#equals(java.lang.reflect.Type,java.lang.reflect.Type)",3,9,0.024193548387096774,0.07258064516129031,0.002742809686161378,0.026129032258064518,0.013726698520741543,0.0
com.google.gson.internal..Gson.Types.GenericArrayTypeImpl#getGenericComponentType(),3,0,0.024193548387096774,0.0,0.0,0.044256490952006296,0.011453000461406945,0.0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.BoundField#ReflectiveTypeAdapterFactory.BoundField(java.lang.String,boolean,boolean)",1,0,0.008064516129032258,0.0,0.0,0.015640273704789834,0.00928765635447818,0.0
com.google.gson.internal.ConstructorConstructor#newDefaultConstructor(java.lang.Class),1,1,0.008064516129032258,0.008064516129032258,0.0005245213742460005,0.02064516129032258,0.0057668392810759275,0.0
"com.google.gson.internal.ConstructorConstructor.3#ConstructorConstructor.3(com.google.gson.internal.ConstructorConstructor,java.lang.reflect.Constructor)",1,0,0.008064516129032258,0.0,0.0,0.019212523719165087,0.009441741481131144,0.0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#excludeField(java.lang.reflect.Field,boolean,com.google.gson.internal.Excluder)",1,2,0.008064516129032258,0.016129032258064516,0.0009179124049305009,0.017204301075268817,0.00980378427843172,0.0
"com.google.gson.internal.Excluder#excludeField(java.lang.reflect.Field,boolean)",1,1,0.008064516129032258,0.008064516129032258,0.00013113034356150013,0.01674937965260546,0.008706713724761773,0.0
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#getFieldNames(java.lang.reflect.Field),1,1,0.008064516129032258,0.008064516129032258,0.00045895620246525046,0.017961876832844573,0.0049971523670653455,0.0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)",1,1,0.008064516129032258,0.008064516129032258,1.3113034356150013e-05,0.02469758064516129,0.004642486382434783,0.0
com.google.gson.internal..Gson.Types#hashCodeOrZero(java.lang.Object),1,0,0.008064516129032258,0.0,0.0,0.023800157356412277,0.006927199240638927,0.0
com.google.gson.internal..Gson.Types#canonicalize(java.lang.reflect.Type),5,9,0.04032258064516129,0.07258064516129031,0.007352041262348107,0.05659309564233163,0.020095474188756166,0.0
"com.google.gson.internal..Gson.Types.ParameterizedTypeImpl#.Gson.Types.ParameterizedTypeImpl(java.lang.reflect.Type,java.lang.reflect.Type,java.lang.reflect.Type[])",2,4,0.016129032258064516,0.03225806451612903,0.001800856718244602,0.04887585532746823,0.010706725543165253,0.03571428571428571
com.google.gson.internal..Gson.Types.ParameterizedTypeImpl#getOwnerType(),2,0,0.016129032258064516,0.0,0.0,0.0587995100040833,0.007229598038016991,0.0
