Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
"org.jsoup.parser.HtmlTreeBuilderState.7#process(org.jsoup.parser.Token,org.jsoup.parser.HtmlTreeBuilder)",2,81,0.002680965147453083,0.10857908847184987,0.009732450856771982,0.02233626962849483,0.004925090883678889,0.006762716847985887
org.jsoup.parser.HtmlTreeBuilder#aboveOnStack(org.jsoup.nodes.Element),1,0,0.0013404825737265416,0.0,0.0,0.0176302599370556,0.0006035743779660285,0.0
"org.jsoup.nodes.Node.OuterHtmlVisitor#head(org.jsoup.nodes.Node,int)",1,5,0.0013404825737265416,0.006702412868632708,0.0034953008138858374,0.016576211338520892,0.0006068600865209174,0.0
"org.jsoup.nodes.DataNode#outerHtmlHead(java.lang.Appendable,int,org.jsoup.nodes.Document.OutputSettings)",1,1,0.0013404825737265416,0.0013404825737265416,0.0001421451319790561,0.014651404102674861,0.0006086694914854445,0.0
org.jsoup.parser.HtmlTreeBuilder#insertEmpty(org.jsoup.parser.Token.StartTag),6,9,0.00804289544235925,0.012064343163538875,0.0014516842078764794,0.022168602919273164,0.0007391682124674028,0.03333333333333333
org.jsoup.parser.Tag#isEmpty(),2,0,0.002680965147453083,0.0,0.0,0.02542885363542905,0.0006126175853535705,0.0
org.jsoup.parser.HtmlTreeBuilder#inSelectScope(java.lang.String),1,1,0.0013404825737265416,0.0013404825737265416,0.0,0.01696635893524179,0.0006121249686172317,0.5
org.jsoup.nodes.Element#nodeName(),25,1,0.03351206434316354,0.0013404825737265416,0.00014559380079289395,0.050844573476503355,0.008215738942833386,0.024615384615384615
"org.jsoup.nodes.Node#addChildren(int,org.jsoup.nodes.Node[])",2,5,0.002680965147453083,0.006702412868632708,0.0005292956918629409,0.01256611512151608,0.0010886294821457587,0.023809523809523808
"org.jsoup.helper.ChangeNotifyingArrayList#addAll(int,java.util.Collection)",1,1,0.0013404825737265416,0.0013404825737265416,2.5190276553250445e-05,0.011411232644390958,0.0007771145315118384,0.0
org.jsoup.parser.HtmlTreeBuilder#maybeSetBaseUri(org.jsoup.nodes.Element),1,2,0.0013404825737265416,0.002680965147453083,0.006931543658597543,0.01770724797171523,0.0006042815464449332,0.0
org.jsoup.nodes.Node#setBaseUri(java.lang.String),1,3,0.0013404825737265416,0.004021447721179625,0.006874546425079919,0.014750011758619067,0.0008604459224374037,0.08333333333333333
"org.jsoup.parser.TokeniserState.21#read(org.jsoup.parser.Tokeniser,org.jsoup.parser.CharacterReader)",1,3,0.0013404825737265416,0.004021447721179625,1.1674905251278893e-05,0.006178986339844248,0.0006035723774250733,0.0
org.jsoup.parser.Tokeniser#advanceTransition(org.jsoup.parser.TokeniserState),18,1,0.02412868632707775,0.0013404825737265416,3.598610936178635e-05,0.016199688096865197,0.002550095365751161,0.0029239766081871343
org.jsoup.parser.TreeBuilder#processEndTag(java.lang.String),10,4,0.013404825737265416,0.005361930294906166,0.0012802853066905878,0.01944700092033132,0.0017837064025480471,0.08241758241758242
org.jsoup.parser.Token.Tag#name(java.lang.String),5,1,0.006702412868632708,0.0013404825737265416,6.879344572994822e-05,0.023528835677647606,0.0013551380881161874,0.1
org.jsoup.select.CombiningEvaluator.And#CombiningEvaluator.And(org.jsoup.select.Evaluator[]),1,1,0.0013404825737265416,0.0013404825737265416,3.598610936178635e-06,0.002234137622877569,0.0006887090884738088,0.0
org.jsoup.select.CombiningEvaluator.And#CombiningEvaluator.And(java.util.Collection),2,1,0.002680965147453083,0.0013404825737265416,1.7993054680893174e-05,0.0037121055887811925,0.0011919959682222482,0.0
org.jsoup.nodes.Element#ensureChildNodes(),7,1,0.00938337801608579,0.0013404825737265416,0.0004102416467243644,0.04032618409294012,0.0052774373115127525,0.03571428571428571
org.jsoup.parser.TreeBuilder#processStartTag(java.lang.String),5,4,0.006702412868632708,0.005361930294906166,0.00016018047802778893,0.018013120668140994,0.0008284789505311161,0.1388888888888889
org.jsoup.parser.Token.StartTag#reset(),5,3,0.006702412868632708,0.004021447721179625,6.267580713844456e-05,0.02538757430936007,0.0025210475111076,0.06666666666666667
org.jsoup.nodes.Element#getElementById(java.lang.String),0,3,0.0,0.004021447721179625,0.0,0.0,0.0006035695439121737,0.0
org.jsoup.select.Evaluator.Id#Evaluator.Id(java.lang.String),2,0,0.002680965147453083,0.0,0.0,0.0031774401747592094,0.0009470642216509876,0.0
"org.jsoup.parser.HtmlTreeBuilderState.21#process(org.jsoup.parser.Token,org.jsoup.parser.HtmlTreeBuilder)",1,11,0.0013404825737265416,0.014745308310991957,9.538979464093516e-05,0.021128903702630247,0.0006037790454141586,0.0
org.jsoup.parser.Token#isComment(),11,0,0.014745308310991957,0.0,0.0,0.021210090177918597,0.0013189390768528128,0.0
"org.jsoup.parser.HtmlTreeBuilderState.14#process(org.jsoup.parser.Token,org.jsoup.parser.HtmlTreeBuilder)",1,16,0.0013404825737265416,0.021447721179624665,0.0005146746481710534,0.021128903702630247,0.000605470021823036,0.018518518518518517
org.jsoup.parser.HtmlTreeBuilder#inTableScope(java.lang.String),7,1,0.00938337801608579,0.0013404825737265416,0.00011110711265451536,0.018686450624528977,0.0010771637909727653,0.03571428571428571
org.jsoup.parser.HtmlTreeBuilder#error(org.jsoup.parser.HtmlTreeBuilderState),16,4,0.021447721179624665,0.005361930294906166,0.0003726072286667319,0.023092294707576205,0.0014631102718176982,0.007894736842105263
org.jsoup.nodes.Attributes#hasKey(java.lang.String),1,1,0.0013404825737265416,0.0013404825737265416,2.444056594154656e-05,0.0176302599370556,0.0006035743779660285,0.0
org.jsoup.select.Elements#text(),0,1,0.0,0.0013404825737265416,0.0,0.0,0.0006035695439121737,0.0
org.jsoup.nodes.Element#text(),3,2,0.004021447721179625,0.002680965147453083,0.0010579916152365187,0.004289544235924933,0.001610661069780627,0.0
"org.jsoup.parser.HtmlTreeBuilderState.13#process(org.jsoup.parser.Token,org.jsoup.parser.HtmlTreeBuilder)",1,14,0.0013404825737265416,0.01876675603217158,0.0005017898325347178,0.021128903702630247,0.0006050809476050642,0.028846153846153848
org.jsoup.parser.HtmlTreeBuilder#transition(org.jsoup.parser.HtmlTreeBuilderState),23,0,0.030831099195710455,0.0,0.0,0.029232831511651885,0.002222855696564893,0.003952569169960474
"org.jsoup.helper.DataUtil#parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",1,8,0.0013404825737265416,0.010723860589812333,0.0018136999118340317,0.0017873100983020554,0.0010783104976927603,0.013888888888888888
org.jsoup.helper.DataUtil#detectCharsetFromBom(java.nio.ByteBuffer),1,0,0.0013404825737265416,0.0,0.0,0.0020107238605898124,0.0007181707754713138,0.0
"org.jsoup.parser.HtmlTreeBuilderState.1#process(org.jsoup.parser.Token,org.jsoup.parser.HtmlTreeBuilder)",1,19,0.0013404825737265416,0.02546916890080429,0.002296545203970631,0.021128903702630247,0.0006057393808970165,0.0
org.jsoup.parser.Token.Doctype#isForceQuirks(),1,0,0.0013404825737265416,0.0,0.0,0.016895665773011614,0.0006080983692827211,0.0
"org.jsoup.parser.TokeniserState.26#read(org.jsoup.parser.Tokeniser,org.jsoup.parser.CharacterReader)",1,5,0.0013404825737265416,0.006702412868632708,4.163433638597403e-05,0.006178986339844248,0.0006035709606686235,0.0
org.jsoup.parser.Token.Tag#appendTagName(char),2,1,0.002680965147453083,0.0013404825737265416,7.19722187235727e-06,0.00598541056175572,0.000771672651480737,0.0
"org.jsoup.parser.HtmlTreeBuilderState.8#HtmlTreeBuilderState.8(java.lang.String,int)",0,1,0.0,0.0013404825737265416,0.0,0.0,0.0006035695439121737,0.0
"org.jsoup.parser.HtmlTreeBuilderState#HtmlTreeBuilderState(java.lang.String,int,org.jsoup.parser.HtmlTreeBuilderState.1)",23,1,0.030831099195710455,0.0013404825737265416,4.1384025766054304e-05,0.030831099195710455,0.012405958961577293,0.0
org.jsoup.safety.Cleaner#createSafeElement(org.jsoup.nodes.Element),1,11,0.0013404825737265416,0.014745308310991957,0.001580210038924975,0.013178323305452943,0.0011712704979640737,0.030303030303030304
org.jsoup.nodes.Attributes#addAll(org.jsoup.nodes.Attributes),3,6,0.004021447721179625,0.00804289544235925,0.0008717634992892743,0.023908235612035186,0.0006942433830396948,0.09722222222222222
org.jsoup.nodes.Node#outerHtml(java.lang.Appendable),2,3,0.002680965147453083,0.004021447721179625,0.001360274933875524,0.0036490914507000295,0.0019448249860521203,0.0
