Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
org.apache.commons.jxpath.xml.DocumentContainer#parseXML(java.io.InputStream),1,14,0.022727272727272728,0.3181818181818182,0.07135306553911205,0.040909090909090916,0.054307282256442393,0.02857142857142857
org.apache.commons.jxpath.xml.XMLParser2#isNamespaceAware(),2,0,0.045454545454545456,0.0,0.0,0.049107142857142856,0.01911609736066326,0.5
org.apache.commons.jxpath.util.ValueUtils#getValue(java.lang.Object),1,1,0.022727272727272728,0.022727272727272728,0.06289640591966174,0.03977272727272727,0.040738129561418264,0.0
org.apache.commons.jxpath.xml.DocumentContainer#getValue(),1,1,0.022727272727272728,0.022727272727272728,0.06765327695560254,0.0404040404040404,0.04807055998610608,0.0
"org.apache.commons.jxpath.ri.model.NodePointer#newNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)",1,2,0.022727272727272728,0.045454545454545456,0.04439746300211417,0.03636363636363637,0.020028480420116655,0.0
"org.apache.commons.jxpath.ri.model.beans.CollectionPointerFactory#createNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)",1,1,0.022727272727272728,0.022727272727272728,0.05021141649048626,0.03787878787878787,0.021959007469878587,0.0
org.apache.commons.jxpath.xml.XMLParser2#setValidating(boolean),1,0,0.022727272727272728,0.0,0.0,0.04132231404958678,0.016743971032386458,0.0
org.apache.commons.jxpath.xml.XMLParser2#isIgnoringElementContentWhitespace(),2,0,0.045454545454545456,0.0,0.0,0.049107142857142856,0.01911609736066326,0.5
"org.apache.commons.jxpath.ri.JXPathContextReferenceImpl.1#compare(java.lang.Object,java.lang.Object)",1,8,0.022727272727272728,0.18181818181818182,0.021141649048625793,0.03787878787878787,0.030471484330520427,0.0
org.apache.commons.jxpath.ri.model.dom.DOMPointerFactory#getOrder(),1,0,0.022727272727272728,0.0,0.0,0.03896103896103895,0.0180170859029808,0.0
org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanPointerFactory#getOrder(),1,0,0.022727272727272728,0.0,0.0,0.03896103896103895,0.016493567471732782,0.0
org.apache.commons.jxpath.xml.DOMParser#parseXML(java.io.InputStream),1,6,0.022727272727272728,0.13636363636363635,0.0,0.04132231404958678,0.016743971032386458,0.14285714285714285
org.apache.commons.jxpath.xml.XMLParser2#isValidating(),2,0,0.045454545454545456,0.0,0.0,0.049107142857142856,0.01911609736066326,0.5
org.apache.commons.jxpath.util.ValueUtils#isCollection(java.lang.Object),1,1,0.022727272727272728,0.022727272727272728,0.05708245243128964,0.03896103896103895,0.03211127750877983,0.0
"org.apache.commons.jxpath.ri.JXPathContextFactoryReferenceImpl#newContext(org.apache.commons.jxpath.JXPathContext,java.lang.Object)",1,1,0.022727272727272728,0.022727272727272728,0.019556025369978858,0.022727272727272728,0.01916137084317166,0.0
"org.apache.commons.jxpath.ri.JXPathContextReferenceImpl#JXPathContextReferenceImpl(org.apache.commons.jxpath.JXPathContext,java.lang.Object)",1,1,0.022727272727272728,0.022727272727272728,0.03805496828752643,0.030303030303030304,0.029733185753858363,0.0
