Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
"org.apache.commons.lang.math.Fraction#getFraction(int,int,int)",1,1,0.037037037037037035,0.037037037037037035,0.0007122507122507123,0.037037037037037035,0.02585450967205506,0.0
"org.apache.commons.lang.math.Fraction#Fraction(int,int)",6,0,0.2222222222222222,0.0,0.0,0.3472222222222222,0.18820327246068821,0.03333333333333333
org.apache.commons.lang.math.Fraction#toProperString(),0,4,0.0,0.14814814814814814,0.0,0.0,0.019605167518217174,0.0
org.apache.commons.lang.math.Fraction#getDenominator(),4,0,0.14814814814814814,0.0,0.0,0.14814814814814814,0.04695919041380388,0.0
org.apache.commons.lang.math.Fraction#getFraction(java.lang.String),0,3,0.0,0.1111111111111111,0.0,0.0,0.019605167518217174,0.0
org.apache.commons.lang.math.Fraction#getFraction(double),1,1,0.037037037037037035,0.037037037037037035,0.0014245014245014246,0.037037037037037035,0.023771395620775765,0.0
org.apache.commons.lang.math.Fraction#abs(),0,1,0.0,0.037037037037037035,0.0,0.0,0.019605167518217174,0.0
org.apache.commons.lang.math.Fraction#negate(),2,1,0.07407407407407407,0.037037037037037035,0.0014245014245014246,0.09876543209876543,0.03736744724533254,0.16666666666666666
"org.apache.commons.lang.math.Fraction#addSub(org.apache.commons.lang.math.Fraction,boolean)",2,6,0.07407407407407407,0.2222222222222222,0.017094017094017096,0.07407407407407407,0.05293499233868589,0.017857142857142856
"org.apache.commons.lang.math.Fraction#addAndCheck(int,int)",1,0,0.037037037037037035,0.0,0.0,0.06666666666666667,0.02344595312730067,0.0
org.apache.commons.lang.math.Fraction#hashCode(),0,2,0.0,0.07407407407407407,0.0,0.0,0.019605167518217174,0.0
"org.apache.commons.lang.math.Fraction#getReducedFraction(int,int)",2,1,0.07407407407407407,0.037037037037037035,0.002849002849002849,0.11574074074074073,0.05132083653771008,0.0
org.apache.commons.lang.math.Fraction#pow(int),1,3,0.037037037037037035,0.1111111111111111,0.0,0.0,0.029828807963645544,0.0
org.apache.commons.lang.math.Fraction#multiplyBy(org.apache.commons.lang.math.Fraction),2,3,0.07407407407407407,0.1111111111111111,0.008547008547008548,0.07407407407407407,0.04197808993505598,0.0
"org.apache.commons.lang.math.Fraction#getFraction(int,int)",2,1,0.07407407407407407,0.037037037037037035,0.002136752136752137,0.07407407407407407,0.04251942208228941,0.0
org.apache.commons.lang.math.Fraction#reduce(),0,1,0.0,0.037037037037037035,0.0,0.0,0.019605167518217174,0.0
"org.apache.commons.lang.math.Fraction#mulPosAndCheck(int,int)",2,0,0.07407407407407407,0.0,0.0,0.13333333333333333,0.043604611644031704,0.0
org.apache.commons.lang.math.Fraction#divideBy(org.apache.commons.lang.math.Fraction),0,2,0.0,0.07407407407407407,0.0,0.0,0.019605167518217174,0.0
org.apache.commons.lang.math.Fraction#invert(),2,1,0.07407407407407407,0.037037037037037035,0.002849002849002849,0.07407407407407407,0.029028145370846713,0.0
org.apache.commons.lang.math.Fraction#getProperWhole(),1,0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.025160138321628625,0.0
org.apache.commons.lang.math.Fraction#toString(),0,2,0.0,0.07407407407407407,0.0,0.0,0.019605167518217174,0.0
org.apache.commons.lang.math.Fraction#getNumerator(),4,0,0.14814814814814814,0.0,0.0,0.14814814814814814,0.047800852656745,0.0
org.apache.commons.lang.math.Fraction#equals(java.lang.Object),0,2,0.0,0.07407407407407407,0.0,0.0,0.019605167518217174,0.0
"org.apache.commons.lang.math.Fraction#subAndCheck(int,int)",1,0,0.037037037037037035,0.0,0.0,0.06666666666666667,0.022897269468860167,0.0
org.apache.commons.lang.math.Fraction#subtract(org.apache.commons.lang.math.Fraction),0,1,0.0,0.037037037037037035,0.0,0.0,0.019605167518217174,0.0
org.apache.commons.lang.math.Fraction#add(org.apache.commons.lang.math.Fraction),0,1,0.0,0.037037037037037035,0.0,0.0,0.019605167518217174,0.0
"org.apache.commons.lang.math.Fraction#mulAndCheck(int,int)",2,0,0.07407407407407407,0.0,0.0,0.13333333333333333,0.04611325163674432,0.0
org.apache.commons.lang.math.Fraction#getProperNumerator(),1,0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.025160138321628625,0.0
