Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
"org.apache.commons.math.util.FastMath#splitAdd(double[],double[],double[])",5,1,0.06944444444444445,0.013888888888888888,0.0002608242044861763,0.06944444444444445,0.015718937213322643,0.1
org.apache.commons.math.util.FastMath#resplit(double[]),5,0,0.06944444444444445,0.0,0.0,0.09259259259259259,0.05505016060300198,0.15
"org.apache.commons.math.util.FastMath#sinQ(double,double)",3,2,0.041666666666666664,0.027777777777777776,0.0019561815336463224,0.043402777777777776,0.028729398115818074,0.1
org.apache.commons.math.util.FastMath#polySine(double),1,0,0.013888888888888888,0.0,0.0,0.03571428571428571,0.019941136269368345,0.0
org.apache.commons.math.geometry.euclidean.threed.Rotation#applyInverseTo(org.apache.commons.math.geometry.euclidean.threed.Vector3D),1,4,0.013888888888888888,0.05555555555555555,9.780907668231612e-05,0.013888888888888888,0.008279198342975098,0.15
org.apache.commons.math.geometry.euclidean.threed.Vector3D#getY(),6,0,0.08333333333333333,0.0,0.0,0.08506944444444445,0.015247201799964201,0.06666666666666667
org.apache.commons.math.geometry.euclidean.threed.Vector3D#getNorm(),3,1,0.041666666666666664,0.013888888888888888,0.00029342723004694836,0.044444444444444446,0.013660538472252601,0.25
org.apache.commons.math.util.FastMath#sqrt(double),10,0,0.1388888888888889,0.0,0.0,0.16055555555555556,0.0665164648347112,0.05555555555555555
"org.apache.commons.math.util.FastMath#slowexp(double,double[])",0,4,0.0,0.05555555555555555,0.0,0.0,0.007731403426535211,0.0
"org.apache.commons.math.util.FastMath#splitReciprocal(double[],double[])",5,1,0.06944444444444445,0.013888888888888888,0.0002608242044861763,0.06944444444444445,0.013485056145173695,0.1
"org.apache.commons.math.util.FastMath#slowSin(double,double[])",1,4,0.013888888888888888,0.05555555555555555,9.780907668231612e-05,0.013888888888888888,0.00832118446287627,0.15
org.apache.commons.math.geometry.euclidean.threed.Rotation#getAngles(org.apache.commons.math.geometry.euclidean.threed.RotationOrder),0,9,0.0,0.125,0.0,0.0,0.007731403426535211,0.08333333333333333
org.apache.commons.math.geometry.euclidean.threed.Vector3D#getX(),6,0,0.08333333333333333,0.0,0.0,0.08506944444444445,0.015247201799964201,0.06666666666666667
org.apache.commons.math.util.FastMath#asin(double),2,2,0.027777777777777776,0.027777777777777776,0.0003586332811684924,0.03125,0.011907263406261297,0.08333333333333333
"org.apache.commons.math.util.FastMath#atan(double,double,boolean)",3,0,0.041666666666666664,0.0,0.0,0.049999999999999996,0.018003251541383727,0.0
org.apache.commons.math.util.FastMath#buildSinCosTables(),0,5,0.0,0.06944444444444445,0.0,0.0,0.007731403426535211,0.3
"org.apache.commons.math.geometry.euclidean.threed.Rotation#Rotation(org.apache.commons.math.geometry.euclidean.threed.Vector3D,double)",1,7,0.013888888888888888,0.09722222222222221,0.002445226917057903,0.013888888888888888,0.010195845614103206,0.0
org.apache.commons.math.geometry.euclidean.threed.Vector3D#getZ(),6,0,0.08333333333333333,0.0,0.0,0.08506944444444445,0.015247201799964201,0.06666666666666667
org.apache.commons.math.geometry.euclidean.threed.CardanEulerSingularityException#CardanEulerSingularityException(boolean),1,1,0.013888888888888888,0.013888888888888888,0.00019561815336463224,0.013888888888888888,0.007731629181703743,0.0
org.apache.commons.math.geometry.euclidean.threed.Rotation#applyInverseTo(org.apache.commons.math.geometry.euclidean.threed.Rotation),1,1,0.013888888888888888,0.013888888888888888,0.00019561815336463224,0.013888888888888888,0.011017326343292538,0.0
"org.apache.commons.math.geometry.euclidean.threed.Rotation#Rotation(double,double,double,double,boolean)",3,1,0.041666666666666664,0.013888888888888888,0.0006846635367762128,0.04960317460317461,0.031636643613532654,0.0
"org.apache.commons.math.geometry.euclidean.threed.Rotation#Rotation(org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D)",0,9,0.0,0.125,0.0,0.0,0.007731403426535211,0.041666666666666664
"org.apache.commons.math.MathRuntimeException#createIllegalArgumentException(org.apache.commons.math.exception.util.Localizable,java.lang.Object[])",2,1,0.027777777777777776,0.013888888888888888,0.0003912363067292645,0.027777777777777776,0.008132814513358236,0.0
org.apache.commons.math.util.FastMath#acos(double),2,3,0.027777777777777776,0.041666666666666664,0.000847678664580073,0.03125,0.009566018166807052,0.05
org.apache.commons.math.util.FastMath#doubleHighPart(double),2,0,0.027777777777777776,0.0,0.0,0.03858024691358025,0.015443626474297626,0.0
"org.apache.commons.math.util.FastMath#slowCos(double,double[])",1,4,0.013888888888888888,0.05555555555555555,9.780907668231612e-05,0.013888888888888888,0.00832118446287627,0.15
"org.apache.commons.math.util.FastMath#split(double,double[])",6,0,0.08333333333333333,0.0,0.0,0.08506944444444445,0.020365704071170852,0.03333333333333333
"org.apache.commons.math.MathRuntimeException#createArithmeticException(org.apache.commons.math.exception.util.Localizable,java.lang.Object[])",1,1,0.013888888888888888,0.013888888888888888,0.0003912363067292645,0.018518518518518517,0.007731411693838944,0.0
"org.apache.commons.math.MathRuntimeException.1#MathRuntimeException.1(org.apache.commons.math.exception.util.Localizable,java.lang.Object[])",1,0,0.013888888888888888,0.0,0.0,0.020833333333333332,0.014303256286870309,0.0
"org.apache.commons.math.util.FastMath#splitMult(double[],double[],double[])",6,1,0.08333333333333333,0.013888888888888888,0.0004564423578508085,0.08506944444444445,0.025539351191225093,0.07142857142857142
"org.apache.commons.math.geometry.euclidean.threed.Vector3D#dotProduct(org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D)",0,1,0.0,0.013888888888888888,0.0,0.0,0.007731403426535211,0.0
org.apache.commons.math.geometry.euclidean.threed.Vector3D#dotProduct(org.apache.commons.math.geometry.Vector),3,1,0.041666666666666664,0.013888888888888888,0.0005868544600938967,0.041666666666666664,0.016050093487128957,0.0
org.apache.commons.math.geometry.euclidean.threed.Rotation#getAngle(),1,3,0.013888888888888888,0.041666666666666664,0.0009780907668231612,0.013888888888888888,0.011017326343292538,0.16666666666666666
"org.apache.commons.math.util.FastMath#expint(int,double[])",0,3,0.0,0.041666666666666664,0.0,0.0,0.007731403426535211,0.16666666666666666
"org.apache.commons.math.geometry.euclidean.threed.Rotation#Rotation(org.apache.commons.math.geometry.euclidean.threed.RotationOrder,double,double,double)",0,5,0.0,0.06944444444444445,0.0,0.0,0.007731403426535211,0.0
org.apache.commons.math.geometry.euclidean.threed.RotationOrder#getA1(),1,0,0.013888888888888888,0.0,0.0,0.013888888888888888,0.008552884155724543,0.0
"org.apache.commons.math.geometry.euclidean.threed.Rotation#Rotation(org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D)",0,13,0.0,0.18055555555555555,0.0,0.0,0.007731403426535211,0.019230769230769232
org.apache.commons.math.geometry.euclidean.threed.Vector3D#crossProduct(org.apache.commons.math.geometry.Vector),3,2,0.041666666666666664,0.027777777777777776,0.000782472613458529,0.041666666666666664,0.01555972981234041,0.1
"org.apache.commons.math.geometry.euclidean.threed.Vector3D#Vector3D(double,org.apache.commons.math.geometry.euclidean.threed.Vector3D,double,org.apache.commons.math.geometry.euclidean.threed.Vector3D)",1,1,0.013888888888888888,0.013888888888888888,9.780907668231612e-05,0.013888888888888888,0.007949254669635145,0.0
"org.apache.commons.math.util.MathUtils#linearCombination(double,double,double,double)",2,0,0.027777777777777776,0.0,0.0,0.043402777777777776,0.024408029493330832,0.0
org.apache.commons.math.geometry.euclidean.threed.Vector3D#orthogonal(),1,3,0.013888888888888888,0.041666666666666664,9.780907668231612e-05,0.013888888888888888,0.00809650597284158,0.25
"org.apache.commons.math.geometry.euclidean.threed.Vector3D#crossProduct(org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D)",1,1,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.007840329048085178,0.5
"org.apache.commons.math.util.MathUtils#linearCombination(double,double,double,double,double,double)",1,0,0.013888888888888888,0.0,0.0,0.031746031746031744,0.02137439060604298,0.0
org.apache.commons.math.geometry.euclidean.threed.RotationOrder#getA2(),1,0,0.013888888888888888,0.0,0.0,0.013888888888888888,0.008552884155724543,0.0
org.apache.commons.math.util.FastMath#slowLog(double),0,5,0.0,0.06944444444444445,0.0,0.0,0.007731403426535211,0.15
"org.apache.commons.math.MathRuntimeException.4#MathRuntimeException.4(org.apache.commons.math.exception.util.Localizable,java.lang.Object[])",1,0,0.013888888888888888,0.0,0.0,0.024999999999999998,0.014644460978733818,0.0
