Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
org.mockito.internal.verification.DefaultRegisteredInvocations.RemoveToString#isOut(org.mockito.invocation.Invocation),1,2,0.002577319587628866,0.005154639175257732,0.000419563653800048,0.007071913502640181,0.0038587300189305085,0.0
org.mockito.internal.creation.bytebuddy.InterceptedInvocation#getMethod(),9,1,0.023195876288659795,0.002577319587628866,0.0002930285836063827,0.0389819587628866,0.011757994644135291,0.0
"org.mockito.internal.util.MockUtil#maybeRedefineMockName(java.lang.Object,java.lang.String)",1,6,0.002577319587628866,0.015463917525773196,0.0005283394158963567,0.004510309278350515,0.0016272441827191843,0.047619047619047616
org.mockito.internal.creation.settings.CreationSettings#setMockName(org.mockito.mock.MockName),2,0,0.005154639175257732,0.0,0.0,0.008540529613907418,0.0015340296256922826,0.0
org.mockito.internal.util.collections.Sets#newMockSafeHashSet(java.lang.Object[]),3,1,0.007731958762886598,0.002577319587628866,0.00019979221609526095,0.011205737337516808,0.0024076046035721673,0.0
org.mockito.internal.util.collections.HashCodeAndEqualsSafeSet#of(java.lang.Object[]),1,1,0.002577319587628866,0.002577319587628866,0.00014651429180319135,0.009172225591267435,0.0033236399057906926,0.0
org.mockito.ArgumentCaptor#getValue(),0,1,0.0,0.002577319587628866,0.0,0.0,0.0012767950815848808,0.0
org.mockito.internal.matchers.CapturingMatcher#getLastValue(),1,1,0.002577319587628866,0.002577319587628866,0.00010655584858413917,0.002577319587628866,0.0023622429839545,0.0
org.mockito.exceptions.Reporter#noArgumentValueWasCaptured(),1,2,0.002577319587628866,0.005154639175257732,0.00019979221609526095,0.003436426116838488,0.003285046481882243,0.0
org.mockito.internal.configuration.plugins.PluginRegistry#PluginRegistry(),0,2,0.0,0.005154639175257732,0.0,0.0,0.0012767950815848808,0.0
org.mockito.internal.configuration.plugins.PluginLoader#PluginLoader(org.mockito.plugins.PluginSwitch),1,0,0.002577319587628866,0.0,0.0,0.002577319587628866,0.0018195190327696903,0.0
"org.mockito.internal.util.MockNameImpl#MockNameImpl(java.lang.String,java.lang.Class)",1,1,0.002577319587628866,0.002577319587628866,3.329870268254349e-05,0.0042955326460481094,0.0014187471767367922,0.0
