Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
org.joda.time.field.ScaledDurationField#hashCode(),1,2,0.002617801047120419,0.005235602094240838,0.00022902896300266125,0.00929616849119467,0.0015074824489094145,0.0
org.joda.time.field.BaseDurationField#getType(),3,0,0.007853403141361258,0.0,0.0,0.010060568730109845,0.0043393575403590165,0.0
org.joda.time.chrono.BasicYearDateTimeField#BasicYearDateTimeField(org.joda.time.chrono.BasicChronology),1,3,0.002617801047120419,0.007853403141361258,0.0004156875678498303,0.008665824155984833,0.0014698310666138347,0.0
org.joda.time.chrono.GregorianChronology#getAverageMillisPerYear(),2,0,0.005235602094240838,0.0,0.0,0.008848167539267017,0.002227063391481213,0.0
org.joda.time.format.PeriodFormatterBuilder#appendSecondsWithOptionalMillis(),1,1,0.002617801047120419,0.002617801047120419,2.9446580957485028e-06,0.002617801047120419,0.0014598591246792023,0.0
org.joda.time.format.PeriodFormatterBuilder#appendField(int),10,1,0.02617801047120419,0.002617801047120419,0.00021986780448255487,0.02639616055846422,0.01363697003185196,0.0
"org.joda.time.base.BasePeriod#BasePeriod(long,org.joda.time.PeriodType,org.joda.time.Chronology)",2,3,0.005235602094240838,0.007853403141361258,0.004651578238584052,0.005983545250560957,0.004068498137023927,0.0
org.joda.time.base.BasePeriod#checkPeriodType(org.joda.time.PeriodType),3,1,0.007853403141361258,0.002617801047120419,0.0006183782001071855,0.01507853403141361,0.004646953332279566,0.0
org.joda.time.Period#Period(java.lang.Object),1,1,0.002617801047120419,0.002617801047120419,0.002363578898187465,0.0034904013961605585,0.0028310182268976416,0.0
"org.joda.time.base.BasePeriod#BasePeriod(java.lang.Object,org.joda.time.PeriodType,org.joda.time.Chronology)",2,9,0.005235602094240838,0.02356020942408377,0.005407373816492834,0.005983545250560957,0.005305509461762212,0.009259259259259259
org.joda.time.chrono.BasicChronology#assemble(org.joda.time.chrono.AssembledChronology.Fields),1,19,0.002617801047120419,0.04973821989528796,0.006448310453339929,0.009232111692844677,0.0020510004152932138,0.002631578947368421
org.joda.time.chrono.GJEraDateTimeField#GJEraDateTimeField(org.joda.time.chrono.BasicChronology),1,2,0.002617801047120419,0.005235602094240838,0.00021643237003751494,0.008665824155984833,0.0014698310666138347,0.0
"org.joda.time.chrono.ZonedChronology#convertField(org.joda.time.DateTimeField,java.util.HashMap)",1,25,0.002617801047120419,0.06544502617801047,0.0038797506332650827,0.009232111692844677,0.0023421523119300856,0.012307692307692308
