Project,Bug ID,tarantula_rank,tarantula_exam,tarantula_top_1,tarantula_top_3,tarantula_top_5,ochiai_rank,ochiai_exam,ochiai_top_1,ochiai_top_3,ochiai_top_5,dstar_rank,dstar_exam,dstar_top_1,dstar_top_3,dstar_top_5,tarantula_gc_rank,tarantula_gc_exam,tarantula_gc_top_1,tarantula_gc_top_3,tarantula_gc_top_5,ochiai_gc_rank,ochiai_gc_exam,ochiai_gc_top_1,ochiai_gc_top_3,ochiai_gc_top_5,dstar_gc_rank,dstar_gc_exam,dstar_gc_top_1,dstar_gc_top_3,dstar_gc_top_5,tarantula_rank_imp_pct,tarantula_exam_imp_pct,ochiai_rank_imp_pct,ochiai_exam_imp_pct,dstar_rank_imp_pct,dstar_exam_imp_pct
Math,70,1,0.0625,True,True,True,1,0.0625,True,True,True,1,0.0625,True,True,True,1,0.0625,True,True,True,1,0.0625,True,True,True,1,0.0625,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Math,60,2,0.0196,False,True,True,2,0.0196,False,True,True,2,0.0196,False,True,True,17,0.1667,False,False,False,18,0.1765,False,False,False,18,0.1765,False,False,False,-750.0,-750.51,-800.0,-800.51,-800.0,-800.51
Chart,17,1,0.0091,True,True,True,1,0.0091,True,True,True,1,0.0091,True,True,True,1,0.0091,True,True,True,1,0.0091,True,True,True,1,0.0091,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Compress,45,4,0.1538,False,False,True,4,0.1538,False,False,True,4,0.1538,False,False,True,3,0.1154,False,True,True,4,0.1538,False,False,True,3,0.0962,False,True,True,25.0,24.97,0.0,0.0,25.0,37.45
Chart,9,1,0.0089,True,True,True,1,0.0089,True,True,True,1,0.0089,True,True,True,1,0.0089,True,True,True,1,0.0089,True,True,True,1,0.0089,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Compress,37,9,0.075,False,False,False,9,0.075,False,False,False,9,0.075,False,False,False,26,0.2167,False,False,False,28,0.2333,False,False,False,27,0.225,False,False,False,-188.89,-188.93,-211.11,-211.07,-200.0,-200.0
Compress,27,2,0.08,False,True,True,2,0.08,False,True,True,2,0.08,False,True,True,2,0.08,False,True,True,2,0.08,False,True,True,2,0.08,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0
JacksonXml,5,6,0.0714,False,False,False,80,0.8846,False,False,False,80,0.8846,False,False,False,11,0.1209,False,False,False,80,0.8791,False,False,False,78,0.8571,False,False,False,-83.33,-69.33,0.0,0.62,2.5,3.11
JacksonCore,20,1,0.0041,True,True,True,1,0.0041,True,True,True,1,0.0041,True,True,True,1,0.0041,True,True,True,1,0.0041,True,True,True,1,0.0041,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Collections,12,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
JacksonDatabind,19,30,0.0354,False,False,False,406,0.4788,False,False,False,412,0.4858,False,False,False,137,0.1616,False,False,False,180,0.2123,False,False,False,299,0.3526,False,False,False,-356.67,-356.5,55.67,55.66,27.43,27.42
Jsoup,26,21,0.0462,False,False,False,21,0.0462,False,False,False,21,0.0462,False,False,False,150,0.3555,False,False,False,150,0.3555,False,False,False,143,0.3389,False,False,False,-614.29,-669.48,-614.29,-669.48,-580.95,-633.55
Time,19,53,0.0725,False,False,False,53,0.0725,False,False,False,53,0.0725,False,False,False,365,0.4993,False,False,False,365,0.4993,False,False,False,361,0.4938,False,False,False,-588.68,-588.69,-588.68,-588.69,-581.13,-581.1
Gson,18,38,0.1442,False,False,False,38,0.1442,False,False,False,38,0.1442,False,False,False,12,0.0449,False,False,False,117,0.4382,False,False,False,113,0.4232,False,False,False,68.42,68.86,-207.89,-203.88,-197.37,-193.48
JxPath,8,125,0.6018,False,False,False,125,0.6018,False,False,False,125,0.6018,False,False,False,126,0.6491,False,False,False,163,0.7455,False,False,False,123,0.7636,False,False,False,-0.8,-7.86,-30.4,-23.88,1.6,-26.89
Jsoup,54,4,0.0096,False,False,True,4,0.0096,False,False,True,4,0.0096,False,False,True,1,0.0021,True,True,True,1,0.0021,True,True,True,5,0.0107,False,False,True,75.0,78.12,75.0,78.12,-25.0,-11.46
Compress,18,5,0.0409,False,False,True,5,0.0409,False,False,True,5,0.0409,False,False,True,12,0.1091,False,False,False,39,0.3545,False,False,False,41,0.3727,False,False,False,-140.0,-166.75,-680.0,-766.75,-720.0,-811.25
Math,94,1,0.0357,True,True,True,1,0.0357,True,True,True,1,0.0357,True,True,True,1,0.0357,True,True,True,1,0.0357,True,True,True,1,0.0357,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Math,84,3,0.0556,False,True,True,3,0.0556,False,True,True,3,0.0556,False,True,True,2,0.0556,False,True,True,2,0.0556,False,True,True,2,0.0556,False,True,True,33.33,0.0,33.33,0.0,33.33,0.0
Mockito,7,10,0.0121,False,False,False,10,0.0121,False,False,False,10,0.0121,False,False,False,5,0.0076,False,False,True,7,0.0106,False,False,False,20,0.0303,False,False,False,50.0,37.19,30.0,12.4,-100.0,-150.41
Jsoup,62,11,0.0151,False,False,False,11,0.0151,False,False,False,11,0.0151,False,False,False,136,0.1951,False,False,False,137,0.1966,False,False,False,136,0.1951,False,False,False,-1136.36,-1192.05,-1145.45,-1201.99,-1136.36,-1192.05
Jsoup,72,12,0.0161,False,False,False,11,0.0147,False,False,False,11,0.0147,False,False,False,57,0.0763,False,False,False,57,0.0763,False,False,False,57,0.0763,False,False,False,-375.0,-373.91,-418.18,-419.05,-418.18,-419.05
