result_set,project,bug_id,result_file,metric,first_fault_expected_rank,total_methods,first_fault_exam,top_1,top_3,top_5
eval_lambd_1.0,Chart,1,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_1_1.0.csv,dstar,7.5,198,0.03787878787878788,False,False,False
eval_lambd_1.0,Chart,3,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_3_1.0.csv,dstar,1.0,123,0.008130081300813009,True,True,True
eval_lambd_1.0,Chart,5,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_5_1.0.csv,dstar,2.0,54,0.037037037037037035,False,True,True
eval_lambd_1.0,Chart,6,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_6_1.0.csv,dstar,7.0,23,0.30434782608695654,False,False,False
eval_lambd_1.0,Chart,7,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_7_1.0.csv,dstar,4.5,75,0.06,False,False,True
eval_lambd_1.0,Chart,8,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_8_1.0.csv,dstar,10.0,19,0.5263157894736842,False,False,False
eval_lambd_1.0,Chart,9,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_9_1.0.csv,dstar,1.0,112,0.008928571428571428,True,True,True
eval_lambd_1.0,Chart,11,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_11_1.0.csv,dstar,1.0,7,0.14285714285714285,True,True,True
eval_lambd_1.0,Chart,12,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_12_1.0.csv,dstar,3.0,184,0.016304347826086956,False,True,True
eval_lambd_1.0,Chart,13,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_13_1.0.csv,dstar,1.5,64,0.0234375,False,True,True
eval_lambd_1.0,Chart,17,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_17_1.0.csv,dstar,1.0,110,0.00909090909090909,True,True,True
eval_lambd_1.0,Chart,20,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_20_1.0.csv,dstar,1.0,48,0.020833333333333332,True,True,True
eval_lambd_1.0,Chart,25,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_25_1.0.csv,dstar,21.0,633,0.03317535545023697,False,False,False
eval_lambd_1.0,Chart,26,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Chart_26_1.0.csv,dstar,62.5,543,0.1151012891344383,False,False,False
eval_lambd_1.0,Cli,35,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Cli_35_1.0.csv,dstar,17.0,118,0.1440677966101695,False,False,False
eval_lambd_1.0,Cli,37,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Cli_37_1.0.csv,dstar,4.5,64,0.0703125,False,False,True
eval_lambd_1.0,Cli,38,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Cli_38_1.0.csv,dstar,3.5,67,0.05223880597014925,False,False,True
eval_lambd_1.0,Cli,40,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Cli_40_1.0.csv,dstar,1.0,10,0.1,True,True,True
eval_lambd_1.0,Codec,2,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Codec_2_1.0.csv,dstar,6.0,18,0.3333333333333333,False,False,False
eval_lambd_1.0,Codec,3,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Codec_3_1.0.csv,dstar,2.5,49,0.05102040816326531,False,True,True
eval_lambd_1.0,Codec,5,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Codec_5_1.0.csv,dstar,7.0,29,0.2413793103448276,False,False,False
eval_lambd_1.0,Codec,6,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Codec_6_1.0.csv,dstar,4.0,29,0.13793103448275862,False,False,True
eval_lambd_1.0,Codec,7,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Codec_7_1.0.csv,dstar,1.0,45,0.022222222222222223,True,True,True
eval_lambd_1.0,Codec,9,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Codec_9_1.0.csv,dstar,5.0,45,0.1111111111111111,False,False,True
eval_lambd_1.0,Codec,10,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Codec_10_1.0.csv,dstar,2.0,5,0.4,False,True,True
eval_lambd_1.0,Codec,15,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Codec_15_1.0.csv,dstar,3.0,12,0.25,False,True,True
eval_lambd_1.0,Codec,18,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Codec_18_1.0.csv,dstar,2.0,19,0.10526315789473684,False,True,True
eval_lambd_1.0,Collections,1,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Collections_1_1.0.csv,dstar,5.5,160,0.034375,False,False,False
eval_lambd_1.0,Collections,3,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Collections_3_1.0.csv,dstar,3.0,110,0.02727272727272727,False,True,True
eval_lambd_1.0,Collections,5,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Collections_5_1.0.csv,dstar,7.0,53,0.1320754716981132,False,False,False
eval_lambd_1.0,Collections,6,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Collections_6_1.0.csv,dstar,1.0,160,0.00625,True,True,True
eval_lambd_1.0,Collections,9,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Collections_9_1.0.csv,dstar,1.0,36,0.027777777777777776,True,True,True
eval_lambd_1.0,Collections,12,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Collections_12_1.0.csv,dstar,1.0,36,0.027777777777777776,True,True,True
eval_lambd_1.0,Collections,13,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Collections_13_1.0.csv,dstar,1.0,36,0.027777777777777776,True,True,True
eval_lambd_1.0,Collections,14,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Collections_14_1.0.csv,dstar,2.0,103,0.019417475728155338,False,True,True
eval_lambd_1.0,Collections,15,/Users/ashish/master-thesis/Master-Thesis/failure-propagation-and-rca-via-energy-minimization/evals_lambd1/eval_lambd_1.0/Collections_15_1.0.csv,dstar,8.5,53,0.16037735849056603,False,False,False
